N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
86,한국가스공사,"42,050",50,-0.12%,"5,000","38,818","92,313",11.12,"535,445",8.73,-2.24,
87,이마트,"137,000","2,500",-1.79%,"5,000","38,190","27,876",31.76,"200,268",2.76,4.05,
88,일진머티리얼즈,"82,400","2,900",-3.40%,500,"37,995","46,111",13.16,"359,340",59.80,7.23,
89,GS,"40,850",400,+0.99%,"5,000","37,956","92,915",19.20,"202,847",3.71,-2.82,
90,한국항공우주,"38,450",50,+0.13%,"5,000","37,479","97,475",15.17,"1,010,887",261.56,6.39,
91,삼성카드,"31,950",0,0.00%,"5,000","37,017","115,859",7.28,"63,196",7.88,5.69,
92,삼성증권,"41,100",100,-0.24%,"5,000","36,702","89,300",29.91,"195,255",3.87,9.89,
93,아모레G,"43,300","2,850",-6.18%,500,"35,704","82,458",15.80,"209,622",24.31,0.31,
94,한전기술,"92,900","2,300",-2.42%,200,"35,506","38,220",2.01,"843,919",349.25,N/A,
95,한진칼,"52,300",700,-1.32%,"2,500","34,916","66,761",14.61,"48,334",-59.57,-19.55,
96,NH투자증권,"11,350",0,0.00%,"5,000","33,713","297,034",17.80,"525,939",4.17,10.32,
97,현대미포조선,"83,700",400,+0.48%,"5,000","33,432","39,942",11.11,"254,879",-21.75,-0.84,
98,롯데지주,"31,250",250,+0.81%,200,"32,784","104,909",7.92,"198,754",16.28,-3.03,
99,한미약품,"265,000","4,500",-1.67%,"2,500","32,643","12,318",13.43,"17,455",42.21,1.65,
100,현대오토에버,"117,500","3,000",-2.49%,500,"32,223","27,424",1.90,"74,178",42.65,11.09,
101,오리온,"80,900","3,800",-4.49%,500,"31,985","39,536",36.97,"250,827",13.45,15.50,
102,CJ대한통운,"137,500","3,500",+2.61%,"5,000","31,367","22,812",20.29,"90,598",106.51,3.89,
103,호텔신라,"79,200","5,800",-6.82%,"5,000","31,085","39,248",14.58,"1,084,929",116.99,4.51,
104,TIGER 차이나전기차SOLACTIVE,"14,325",425,-2.88%,0,"30,741","214,600",0.38,"4,619,880",N/A,N/A,
105,현대차2우B,"84,200","1,800",-2.09%,"5,000","30,721","36,485",62.34,"64,942",N/A,N/A,
106,대우건설,"7,340",20,+0.27%,"5,000","30,507","415,623",10.66,"5,020,144",6.24,11.06,
107,한화시스템,"16,100",350,-2.13%,"5,000","30,416","188,919",2.62,"480,532",19.52,9.35,
108,DB하이텍,"68,200","1,700",-2.43%,"5,000","30,280","44,399",23.57,"681,663",14.25,23.07,
109,BGF리테일,"171,500","3,500",-2.00%,"1,000","29,642","17,284",31.14,"52,296",21.46,18.60,
110,KCC,"329,500","6,000",+1.85%,"5,000","29,281","8,886",11.02,"69,550",4.16,12.79,
111,GS리테일,"27,850",300,-1.07%,"1,000","29,164","104,718",7.64,"388,180",2.81,7.50,
112,한미사이언스,"41,800","1,600",-3.69%,500,"28,685","68,624",2.36,"107,352",52.98,3.47,
113,한화에어로스페이스,"54,600",200,-0.36%,"5,000","27,644","50,630",19.73,"460,174",9.91,4.78,
114,씨에스윈드,"65,300",500,-0.76%,500,"27,538","42,171",11.08,"517,701",59.26,8.19,
115,OCI,"114,000","2,000",+1.79%,"5,000","27,188","23,849",14.62,"481,469",4.20,23.93,
116,대우조선해양,"25,050",650,-2.53%,"5,000","26,876","107,291",4.60,"452,749",-1.82,2.27,
117,포스코인터내셔널,"21,600",350,-1.59%,"5,000","26,649","123,375",6.54,"708,947",8.73,7.69,
118,DL이앤씨,"135,500","1,500",+1.12%,"5,000","26,231","19,359",22.32,"276,857",N/A,N/A,
119,하이트진로,"37,300",350,+0.95%,"5,000","26,160","70,134",6.12,"525,743",50.82,8.23,
120,현대해상,"29,200",450,+1.57%,500,"26,105","89,400",26.89,"248,214",6.82,7.13,
121,두산퓨얼셀,"39,750","1,000",-2.45%,100,"26,034","65,494",14.77,"296,433",795.00,4.18,
122,동서,"26,000",200,-0.76%,500,"25,922","99,700",2.87,"46,258",22.87,8.05,
123,에스원,"67,800",200,+0.30%,500,"25,763","37,999",53.04,"43,314",19.97,9.13,
124,롯데쇼핑,"90,700",800,-0.87%,"5,000","25,658","28,289",11.36,"106,457",-9.64,-7.70,
125,제일기획,"22,150",650,-2.85%,200,"25,482","115,041",31.51,"169,027",15.40,15.58,
126,신세계,"258,000","13,000",-4.80%,"5,000","25,401","9,845",25.33,"64,120",9.70,-2.81,
127,한화생명,"2,915",15,-0.51%,"5,000","25,318","868,530",7.67,"1,120,677",3.31,1.90,
128,키움증권,"95,800","1,400",-1.44%,"5,000","25,118","26,220",25.57,"56,526",2.75,27.63,
129,BNK금융지주,"7,600",0,0.00%,"5,000","24,771","325,935",39.93,"493,759",3.04,6.11,
130,CJ,"79,900","1,100",-1.36%,"5,000","23,312","29,177",17.44,"33,198",69.24,1.89,
131,한화,"30,400",100,-0.33%,"5,000","22,787","74,959",15.87,"191,964",5.14,4.79,
132,한솔케미칼,"198,500","5,500",-2.70%,"5,000","22,500","11,335",41.22,"65,253",15.49,24.50,
133,효성첨단소재,"492,000","7,500",-1.50%,"5,000","22,041","4,480",7.77,"26,038",8.79,54.69,
134,녹십자,"187,000","6,500",-3.36%,"5,000","21,854","11,687",22.73,"64,095",25.34,7.48,
135,두산,"128,000","1,500",+1.19%,"5,000","21,150","16,524",9.53,"164,005",-73.73,-34.34,
136,현대로템,"19,300",400,-2.03%,"5,000","21,064","109,142",3.88,"505,195",67.25,2.84,
